2018-11-07 09:55:20 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:20 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:20 [main] INFO  main.status:217 | 20100456495-01-F001-40686
2018-11-07 09:55:20 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:20 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:20 [main] INFO  main.status:217 | 20100456495-01-F001-40685
2018-11-07 09:55:20 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:20 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:20 [main] INFO  main.status:217 | 20100456495-01-F001-40684
2018-11-07 09:55:20 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:20 [main] INFO  main.status:217 | 20100456495-01-F001-40683
2018-11-07 09:55:20 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:20 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:20 [main] INFO  main.status:217 | 20100456495-01-F001-40682
2018-11-07 09:55:21 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:21 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:21 [main] INFO  main.status:217 | 20100456495-01-F001-40678
2018-11-07 09:55:21 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:21 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:21 [main] INFO  main.status:217 | 20100456495-01-F001-40680
2018-11-07 09:55:21 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:21 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:21 [main] INFO  main.status:217 | 20100456495-01-F001-40679
2018-11-07 09:55:21 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:21 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:21 [main] INFO  main.status:217 | 20100456495-01-F001-40681
2018-11-07 09:55:21 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:21 [main] INFO  main.status:217 | 20100456495-01-F001-40677
2018-11-07 09:55:21 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:21 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:21 [main] INFO  main.status:217 | 20100456495-01-F001-40676
2018-11-07 09:55:21 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:21 [main] INFO  main.status:217 | 20100456495-01-F001-40675
2018-11-07 09:55:21 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:21 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:21 [main] INFO  main.status:217 | 20100456495-01-F001-40673
2018-11-07 09:55:21 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:21 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:21 [main] INFO  main.status:217 | 20100456495-01-F001-40674
2018-11-07 09:55:22 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:22 [main] INFO  main.status:217 | 20100456495-01-F001-40672
2018-11-07 09:55:22 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:22 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:22 [main] INFO  main.status:217 | 20100456495-01-F001-40671
2018-11-07 09:55:22 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:22 [main] INFO  main.status:217 | 20100456495-01-F001-40670
2018-11-07 09:55:22 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:22 [main] INFO  main.status:217 | 20100456495-01-F001-40669
2018-11-07 09:55:22 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:22 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:22 [main] INFO  main.status:217 | 20100456495-01-F001-40668
2018-11-07 09:55:22 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:22 [main] INFO  main.status:217 | 20100456495-01-F001-40667
2018-11-07 09:55:22 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:22 [main] INFO  main.status:217 | 20100456495-01-F001-40666
2018-11-07 09:55:22 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:22 [main] INFO  main.status:217 | 20100456495-01-F001-40665
2018-11-07 09:55:22 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:22 [main] INFO  main.status:217 | 20100456495-01-F001-40664
2018-11-07 09:55:23 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:23 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:23 [main] INFO  main.status:217 | 20100456495-01-F001-40663
2018-11-07 09:55:23 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:23 [main] INFO  main.status:217 | 20100456495-01-F001-40662
2018-11-07 09:55:23 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:23 [main] INFO  main.status:217 | 20100456495-01-F001-40661
2018-11-07 09:55:23 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:23 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:23 [main] INFO  main.status:217 | 20100456495-01-F001-40660
2018-11-07 09:55:23 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:23 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:23 [main] INFO  main.status:217 | 20100456495-01-F001-40659
2018-11-07 09:55:23 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:23 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:23 [main] INFO  main.status:217 | 20100456495-01-F001-40658
2018-11-07 09:55:23 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:23 [main] INFO  main.status:217 | 20100456495-01-F001-40657
2018-11-07 09:55:23 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:23 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:23 [main] INFO  main.status:217 | 20100456495-01-F001-40656
2018-11-07 09:55:24 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:24 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:24 [main] INFO  main.status:217 | 20100456495-01-F001-40655
2018-11-07 09:55:24 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:24 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:24 [main] INFO  main.status:217 | 20100456495-01-F001-40654
2018-11-07 09:55:24 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:24 [main] INFO  main.status:217 | 20100456495-01-F001-40653
2018-11-07 09:55:24 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:24 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:24 [main] INFO  main.status:217 | 20100456495-01-F001-40652
2018-11-07 09:55:24 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:24 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:24 [main] INFO  main.status:217 | 20100456495-01-F001-40651
2018-11-07 09:55:24 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:24 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:24 [main] INFO  main.status:217 | 20100456495-01-F001-40650
2018-11-07 09:55:24 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:24 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:24 [main] INFO  main.status:217 | 20100456495-01-F001-40649
2018-11-07 09:55:24 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:24 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:24 [main] INFO  main.status:217 | 20100456495-01-F001-40648
2018-11-07 09:55:24 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:24 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:24 [main] INFO  main.status:217 | 20100456495-01-F001-40647
2018-11-07 09:55:25 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:25 [main] INFO  main.status:217 | 20100456495-01-F001-40646
2018-11-07 09:55:25 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:25 [main] INFO  main.status:217 | 20100456495-01-F001-40645
2018-11-07 09:55:25 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:25 [main] INFO  main.status:217 | 20100456495-01-F001-40644
2018-11-07 09:55:25 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:25 [main] INFO  main.status:217 | 20100456495-01-F001-40643
2018-11-07 09:55:25 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:25 [main] INFO  main.status:217 | 20100456495-01-F001-40642
2018-11-07 09:55:25 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:25 [main] INFO  main.status:217 | 20100456495-01-F001-40641
2018-11-07 09:55:25 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:25 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:25 [main] INFO  main.status:217 | 20100456495-01-F001-40640
2018-11-07 09:55:25 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:25 [main] INFO  main.status:217 | 20100456495-01-F001-40639
2018-11-07 09:55:26 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:26 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:26 [main] INFO  main.status:217 | 20100456495-01-F001-40638
2018-11-07 09:55:26 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:26 [main] INFO  main.status:217 | 20100456495-01-F001-40637
